,scrapping_date,url,product_id,one_review_posted_time,one_review_title,one_review_text,one_review_stars
0,2020-10-26 01:05:56.984252,https://www.bestbuy.com/site/reviews/lg-24-ips-led-fhd-freesync-monitor-black/6362423?variant=A&verifiedPurchaseOnly=true,6362423,"Apr 12, 2020 11:27 AM",Love the 24” monitors,I hesitated to get 24” monitors since I don’t even have that big at my office. But since I’ve had to telework the last month they’ve been amazing!,5
1,2020-10-26 01:05:57.019499,https://www.bestbuy.com/site/reviews/lg-24-ips-led-fhd-freesync-monitor-black/6362423?variant=A&verifiedPurchaseOnly=true,6362423,"Jun 12, 2020 5:00 PM",Mounted 6 of these and they are awreome,"Great monitors, would buy again if I have the need

Key features for me: mounting and headphone jack",5
2,2020-10-26 01:05:57.048160,https://www.bestbuy.com/site/reviews/lg-24-ips-led-fhd-freesync-monitor-black/6362423?variant=A&verifiedPurchaseOnly=true,6362423,"May 27, 2020 2:31 PM",Great for working from home,Just what I was looking for for my home office set-up while working at home during Covid. The monitor is nice and big and the included HDMI cable works perfectly with my laptop.,5
3,2020-10-26 01:05:57.077918,https://www.bestbuy.com/site/reviews/lg-24-ips-led-fhd-freesync-monitor-black/6362423?variant=A&verifiedPurchaseOnly=true,6362423,"Apr 17, 2020 11:06 PM",Good connection and color,"I have a 15 inch Apple MacBook Pro that I connected to this monitor. The screen is a plug and go model with 2 hdmi ports. It’s clear and the color, brightness settings can be changed easily on the monitor. I have had it for 6 weeks and my only issue is that the stand is a little wobbly. I plan to mount it on the wall, since it has the 4 screws on the back for a bracket mount. Now and then the screen flickers but it transitions very well from the laptop to the monitor. The HDMI also allows you to use your PC as a 2nd screen, with up to 4 windows open side by side.
I am so glad I bought this screen on sale and right before the Covid-19 stay home order. It has saved my eyes working at home now!",4
4,2020-10-26 01:05:57.107594,https://www.bestbuy.com/site/reviews/lg-24-ips-led-fhd-freesync-monitor-black/6362423?variant=A&verifiedPurchaseOnly=true,6362423,"Sep 24, 2020 4:24 PM",Dead Pixels,"The Monitor developed a line of dead pixels after about two weeks of usage. 

Other than that it actually works well for all I use it for.",2
5,2020-10-26 01:05:57.136484,https://www.bestbuy.com/site/reviews/lg-24-ips-led-fhd-freesync-monitor-black/6362423?variant=A&verifiedPurchaseOnly=true,6362423,"May 29, 2020 6:33 PM",Very poor packaging,Please see attached images of how I have received the product/package. So far this is a very bad experience. This looks like a refurbished item or looks like it was already opened and re-packed.,1
6,2020-10-26 01:05:57.164484,https://www.bestbuy.com/site/reviews/lg-24-ips-led-fhd-freesync-monitor-black/6362423?variant=A&verifiedPurchaseOnly=true,6362423,"Jul 29, 2020 4:17 PM",Horrible Picture,Horrible picture quality.  Supposed to be 1080p hd and looks like sd. Grainy and pixels showing.  All color and graphics look terrible.,1
7,2020-10-26 01:05:57.191998,https://www.bestbuy.com/site/reviews/lg-24-ips-led-fhd-freesync-monitor-black/6362423?variant=A&verifiedPurchaseOnly=true,6362423,"Nov 2, 2019 2:40 PM",Exactly what I needed for a great price,"I got this for $70 off the retail price of $199.99, I was looking for a solution to be able to hook up my laptop and gaming console and pass-through audio to a pair of speakers, my other monitor an Acer, only had DVI and VGA and no audio I tried using an HDMI splitter that separates the audio but I believe due to the monitor not allowing audio and that I was using a DVI to HDMI cable the separated audio was just static. Now I have my laptop and PS4 hooked up and I have a pair of amazon basics speakers for audio and it works great. The monitor is bright and crisp no problems will probably buy a second one down the road and make it a dual monitor setup.",5
8,2020-10-26 01:05:57.220650,https://www.bestbuy.com/site/reviews/lg-24-ips-led-fhd-freesync-monitor-black/6362423?variant=A&verifiedPurchaseOnly=true,6362423,"Jul 4, 2020 4:38 PM",AMAZING BUDGET MONITOR,"I bought this monitor because i needed a good 2nd monitor. I saw that it was on sale for $109, so i bought it & it was the best purchase i have made in a while! The picture quality is great & there are no flickers. 12/10",5
9,2020-10-26 01:05:57.249718,https://www.bestbuy.com/site/reviews/lg-24-ips-led-fhd-freesync-monitor-black/6362423?variant=A&verifiedPurchaseOnly=true,6362423,"Apr 1, 2020 12:37 PM",Good monitor,"I bought this as a second screen for my laptop since we had to suddenly work from home due to the virus. The price is pretty great and the monitor looks great. I haven’t tried it out gaming yet, mostly for work. Very good price though.",5
